title,revenue
Basic,20315532.53829604
The International,21836305.200695846
The Iron Giant,273317433.93009573
Into the Blue,89112771.29933155
Mad City,12464809.973026007
Baby's Day Out,147580071.17750776
Domino,39595287.93207396
Gamer,41704700.12890592
Rat Race,143348967.18298987
K-PAX,81777846.1361164
The Cable Guy,180984607.6267278
Mary Reilly,8616295.45572223
Jonah Hex,56357086.83227532
Liar Liar,282867425.4638703
The Pelican Brief,143167413.19383338
Patriot Games,78385924.73362151
Prisoners,135507033.88289696
Scary Movie 2,113743798.65121134
Changing Lanes,25013316.845783167
The Specialist,57302626.73556765
Kicking & Screaming,49502344.505513236
Superman Returns,404389438.5208288
Dune,413467472.63732016
Across the Universe,50061889.66339761
Revolutionary Road,54337639.40977012
16 Blocks,78437249.45094797
The Phantom,52484940.506181106
All the Pretty Horses,28258681.18859554
The Ghost Writer,69283270.93641546
Deep Rising,12850970.036105944
Johnny English Reborn,56306350.925896294
The Fugitive,373367839.2039211
The Bounty Hunter,150658854.28357992
Sleepers,75803712.90130498
Underworld: Evolution,80425244.96571161
Victor Frankenstein,44722837.45504911
Victor Frankenstein,44722837.45504911
Charlie St. Cloud,44225650.63313
The Mechanic,45993824.15328302
21 Jump Street,219188896.92836082
Notting Hill,272203367.3456861
High Crimes,30301278.29415508
Super Mario Bros.,170390337.36725187
The Interview,159149660.17272818
The Warrior's Way,3175812.194224413
The Medallion,66426327.21239624
Cheaper by the Dozen,209096007.068679
Lone Survivor,70439096.415157
He's Just Not That Into You,155985120.46187
Get Hard,48317447.353871256
Julie & Julia,71467771.12928383
Dumb and Dumber To,174968963.1965247
Sin City,184122122.35061586
Behind Enemy Lines,96832458.76361653
The Lincoln Lawyer,38997652.913524084
Unknown,57757400.52963299
Harry Potter and the Goblet of Fire,1763602889.1026165
Horrible Bosses 2,94714787.31714846
The Lake House,68393618.91395739
The Odd Life of Timothy Green,56586922.33432682
Music and Lyrics,85973245.98636374
Paul,90082863.48259254
Final Destination 5,43713446.93775188
Mickey Blue Eyes,36119047.21554764
A Million Ways to Die in the West,121285436.2707381
The Shadow,40370057.32891187
Morning Glory,53066150.45959436
Get Rich or Die Tryin',17078088.994516663
The Out-of-Towners,11382086.81620658
Sweet November,52140040.85668094
Colombiana,39479123.42768817
Showgirls,69122331.61266126
The Impossible,195922817.5369954
Madagascar: Escape 2 Africa,482507487.0785927
New York Minute,49497119.13937845
Alfie,25400505.893958587
Pandorum,13836536.264018498
Pirates of the Caribbean: Dead Man's Chest,1013411874.1494951
Delgo,2160146.9984236425
The Hunting Party,6924508.284934925
Baahubali: The Beginning,2720165.166168516
The Matrix Revolutions,295431688.800106
Frankenweenie,72886759.64294775
Grudge Match,58264748.038697585
The Ugly Truth,64304495.80646477
Frozen,811023405.8073896
Star Trek: Generations,114577444.60669366
Enough,44059952.41532986
Rock Star,23122830.47213261
Precious,22823220.57216158
Riddick,107882493.2247665
Thor: The Dark World,507358027.76991695
City of Ember,85891252.85515316
The Town,92334996.21704398
Cop Out,41099720.41689112
Dolphin Tale,22939208.927189272
Twilight,675401915.0197473
Aloha,95472348.04277639
Aloha,95472348.04277639
Gattaca,233594776.7057803
Bolt,475868555.5173639
True Grit,194585087.09913206
G-Force,105365961.32877
