title,revenue
Pirates of the Caribbean: At World's End,6.60989122703055
The Host,5.86811707607551
Man of the House,5.461895982506426
Run All Night,6.532290415345384
Eastern Promises,6.48101694430076
Dream House,5.914282431883749
Mad City,6.402063411914893
The Big Bounce,5.1426892418955426
Interstellar,8.343704713981623
Traffic,7.053959241403318
K-PAX,6.884902616813112
Dick Tracy,5.865614819229608
Riding in Cars with Boys,5.724734915020684
First Blood,7.252578254824176
Happily N'Ever After,5.498653315049811
My Best Friend's Wedding,6.102629747806827
The Infiltrator,6.902631781990749
The Fast and the Furious,6.4759824321754245
The Curious Case of Benjamin Button,7.160077661914649
Coyote Ugly,6.646687689075213
Love Actually,7.179000739553226
The Indian in the Cupboard,6.128725992195567
Savages,6.681734926589773
Johnny English,5.9199960956324595
The Hunger Games: Mockingjay - Part 2,6.507692105133233
Poseidon,6.188599703633847
Johnny English Reborn,5.8878909834512605
Alice Through the Looking Glass,6.051562356691104
Pinocchio,8.20327280880851
Heaven's Gate,6.961244913292474
Victor Frankenstein,6.104933614372471
The Mechanic,5.985568531836035
The Heat,6.272986941101144
High Crimes,6.247493686886141
The Mothman Prophecies,6.30468337214103
One for the Money,5.336050199994736
The Warrior's Way,5.524307129086802
A Knight's Tale,6.193556073384169
The Karate Kid,7.058741516538767
Lucy,6.469983513266738
Spy Kids 3-D: Game Over,5.5761459430833344
Scream 3,6.219669000558089
Back to the Future Part III,7.075348648604467
42,6.646088232451849
Dumb and Dumber To,6.058937713681097
Eight Below,6.465251362319262
The Intern,6.663137985363268
Sin City,6.981045379116896
The Mexican,6.134833737545428
17 Again,6.226698371950354
The Final Destination,5.818821034354179
Bridge of Spies,7.081718410544221
The Count of Monte Cristo,6.2652567480978405
Apocalypto,6.985586246353124
The Living Daylights,6.274818906251125
Legal Eagles,5.59341628760835
Music and Lyrics,6.108479024142041
Rent,6.187930074010676
The Island of Dr. Moreau,5.2330924059026245
City Hall,5.932183900294159
Get Carter,5.852183035447201
Life or Something Like It,5.5897210631936876
New York Minute,5.648685357688274
Extreme Ops,4.689966212029843
A Thousand Words,6.163600202948467
The Gunman,6.030403467963248
Hackers,6.359201238231177
The Matrix Revolutions,6.561940468153336
Superman III,5.749777334733384
Sgt. Bilko,5.645681390922998
White Squall,6.149397628429653
Switchback,5.593023935933764
The Master,6.880462327062819
The Express,6.116886624779216
Creed,7.1141131223191305
Burn After Reading,6.757776261642688
Rush,7.501631587238526
Magnolia,7.6635741417547525
Twilight,6.94204095853261
Space Chimps,5.511952741656443
Lethal Weapon 3,6.263604430919258
The Lone Ranger,6.569851471645849
Identity Thief,6.585893566880021
Cape Fear,6.853631449330169
Guess Who,5.510046779896302
Species,5.542896408236595
Wrath of the Titans,5.740753886408424
Radio,6.30582651885622
This Is 40,6.444955889002473
The Nativity Story,5.885258021460901
Blast from the Past,6.050104899384645
Bee Movie,6.484008787545974
Jersey Girl,6.280784965729919
Concussion,6.940499269676591
Hot Pursuit,5.856580542452528
Furry Vengeance,5.128517211861406
Lions for Lambs,6.089173107504784
Flight of the Intruder,5.490608411629695
Walk Hard: The Dewey Cox Story,6.079071246641209
The Tree of Life,7.119062039664899
Zoom,5.1615368440451395
Ride with the Devil,6.206335352934307
Reds,6.894258511373536
Thunder and the House of Magic,5.985240737331533
Bridesmaids,6.417793358309424
The Big Wedding,5.806705965153823
Pan,5.8786768558353995
Moonraker,6.2652672621962155
Toy Story,7.135232580320036
Extraordinary Measures,6.087160676064279
The Addams Family,6.226674641947521
The SpongeBob SquarePants Movie,6.158092669689574
Rugrats in Paris: The Movie,6.329719265673594
Up in the Air,6.649273934225695
Hope Floats,6.058810459052393
Bride Wars,6.181456740832298
13 Going on 30,6.1023964451367085
Armageddon,6.62909535898432
Message in a Bottle,6.219571183009262
A View to a Kill,6.430748191111637
Glory Road,6.298242775668738
The Running Man,6.500330302438214
Kung Fu Panda 3,6.2669312345989265
Larry Crowne,6.0638239507984055
Carrie,6.230927074673328
What's the Worst That Could Happen?,5.263510509910708
9,6.807056451570029
Virtuosity,5.428622589151697
The Replacement Killers,5.50348778288591
Howard the Duck,5.645561003343876
The Cave,5.221112972745342
Alex & Emma,5.213240377039823
The Merchant of Venice,6.395197946093187
Miss Potter,6.371940425262855
The Promise,5.898936142053855
Star Trek,6.625057937998078
Mumford,5.6952233976794595
Aladdin,7.218023334982667
Straight Outta Compton,7.49078091085542
The Big Short,7.374699576862526
Miracle,6.463986260239782
Gods of Egypt,5.862440248470496
Stealth,5.507853779789892
3 Days to Kill,6.210164138032679
Lost Souls,5.513371990215371
Just My Luck,5.790028155804313
Hulk,6.0751888258699625
About a Boy,6.521949780771183
Return to Oz,5.53739376322174
The Newton Boys,5.594021522094576
Suspect Zero,5.957576614221114
Freaky Friday,6.162211783304367
A Walk Among the Tombstones,6.870684307758572
Kindergarten Cop,6.2685491387859935
"O Brother, Where Art Thou?",6.510786675744665
Legion,5.497192081525961
The Raven,5.66440612923108
The World Is Not Enough,6.082824953080018
Self/less,5.721485630280375
The Passion of the Christ,7.529256682259723
Gran Torino,7.328478934729256
Scooby-Doo 2: Monsters Unleashed,5.374904595022425
The Twilight Saga: Breaking Dawn - Part 2,6.572913823132812
Jimmy Neutron: Boy Genius,5.168712472560693
The Untouchables,7.562929905980653
Tombstone,7.0099164383901575
The Omen,6.532550419985577
Anchorman: The Legend of Ron Burgundy,6.418427601922563
Agent Cody Banks,5.254332272898564
Contraband,6.332640518117282
Money Talks,5.23580188795206
Rugrats Go Wild,5.419573710105097
Beauty Shop,5.595450030543357
Million Dollar Arm,6.483219495993466
What a Girl Wants,6.3481579903073335
Mr. Bean's Holiday,6.152226215779597
Elizabeth,6.776043155430527
The Sitter,5.750811173302739
Kingpin,5.9546541405604465
War,5.675800269735136
Punch-Drunk Love,6.543410855648701
"Bright Lights, Big City",5.846501494734844
The Greatest Game Ever Played,6.170820070300758
The Box,6.519589284178482
Stealing Harvard,5.47866752969852
Legend,6.856292480554132
Hot Rod,5.778686128326167
The Conspirator,5.916436875523669
Lords of Dogtown,6.806819112253926
Abandon,5.686123931370717
The Hunger Games: Catching Fire,7.051163721192027
Home,6.362532962329519
Dangerous Liaisons,6.875870915339644
On the Road,6.529356332815907
Scream 2,6.437744897354783
Footloose,7.163903531051356
Old School,5.934600000886458
The Fisher King,6.810510492801638
Win a Date with Tad Hamilton!,5.564378312123318
Piranha 3D,5.6211572180049245
Beyond the Sea,6.147859710948021
Bad Boys II,6.2591965635439255
The Waterboy,6.0613452374579655
Final Destination,6.050521814683289
Someone Like You...,5.35719662812153
The Crew,4.894995989022575
The Water Diviner,6.468269648077797
The Net,6.312559953283694
Harry Potter and the Prisoner of Azkaban,7.006581615272686
RoboCop 3,5.776936495569033
Megiddo: The Omega Code 2,4.371832153418138
Darling Lili,5.9571582642064795
Dudley Do-Right,5.2154566325783325
Stone,6.1749335332967705
Death at a Funeral,6.972388874824876
Freedom Writers,6.490935947152526
For Colored Girls,5.470895222616339
Swing Vote,5.683889378314153
The Beaver,6.167618784450663
Raiders of the Lost Ark,7.3319765220880715
Home Alone 2: Lost in New York,6.985658132000803
Jaws 2,5.992509053200719
Beverly Hills Chihuahua,5.734040949409196
White Chicks,6.000899894416495
12 Years a Slave,7.809108787361709
Edward Scissorhands,7.470351052209144
Pirates of the Caribbean: The Curse of the Black Pearl,6.8506577417167716
The French Connection,6.917384671257734
The French Connection,6.917384671257734
Return to Never Land,6.148535380503647
Selma,6.990227520703501
Premonition,6.115281065138202
Max,5.773863235331725
Spotlight,7.406128144670811
Lakeview Terrace,6.14677497937459
How Stella Got Her Groove Back,5.760434827423637
Bill & Ted's Bogus Journey,5.888035808658913
Team America: World Police,6.042443168858589
Texas Chainsaw 3D,5.486475109601353
Milk,7.036469311051102
Wild Things,6.403149468438231
The World's End,6.594161746752622
Daybreakers,5.2821000903420785
Sherlock Holmes: A Game of Shadows,6.336803396923556
Clash of the Titans,5.970118586032425
Pooh's Heffalump Movie,5.702093620039987
Capitalism: A Love Story,6.628442504033774
The Greatest Story Ever Told,7.198719155640209
Lockout,5.674868894822312
Envy,5.622468346411717
Ghost Town,6.064347760029063
Be Kind Rewind,6.009742918803318
We're No Angels,6.147109828126843
Connie and Carla,5.263927848476178
Doogal,5.122851403354609
Battle of the Year,5.92172048860605
Little Boy,6.204308699365466
Flash of Genius,5.835962854665225
The Cold Light of Day,5.427419270448462
"Synecdoche, New York",6.255108866707827
Princess Mononoke,8.023301356869275
Equilibrium,6.941579410162725
By the Sea,5.992007451496629
Steamboy,6.143515374501204
The Game of Their Lives,5.493195416361092
Mission: Impossible II,6.036074845813391
Dylan Dog: Dead of Night,4.736117584894908
Robin Hood,6.805051967495331
Thir13en Ghosts,5.710713842251506
Back to the Future,7.46938953439306
House on Haunted Hill,5.513965608821343
Just Married,5.859331670009485
The Book Thief,6.938581187714119
Won't Back Down,5.728459218454259
Ghost Rider,5.890206923127119
The Amityville Horror,5.947440151106376
Adaptation.,6.521699154029305
Legally Blonde,6.123790956032961
Star Trek III: The Search for Spock,6.277099148573826
Charlie's Angels: Full Throttle,5.850677606578446
Diary of a Wimpy Kid: Rodrick Rules,5.651819439092707
Prom Night,5.120011197335331
Gosford Park,6.683284732395845
Blue Jasmine,6.842911817786261
United 93,6.1899342554396295
Honey,6.2724850478673035
Observe and Report,6.161770940875321
Stuart Little 2,6.244898994143541
Young Sherlock Holmes,5.902878000585035
Fame,5.862707315632744
Small Time Crooks,6.281968818498757
Center Stage,6.029471886135586
Getaway,5.426605857304521
The Chronicles of Riddick,6.008705438163199
Dragonslayer,5.858113764886189
The Last Station,6.200929590242358
Megaforce,5.181050892912075
RoboCop,5.886063192013317
Midnight Special,6.380185107561688
The White Ribbon,7.359352853925124
The Wraith,5.688966008195989
Day of the Dead,5.91776610466575
The Hobbit: The Desolation of Smaug,6.857444326088656
Day of the Dead,5.91776610466575
Madea Goes to Jail,5.442839159852603
Black Nativity,5.348735388434428
The Prince,5.222039160416915
The Others,5.942168235041029
Aliens,7.231069026291195
Sideways,6.58113252167597
Good Boy!,5.255174997072881
Smokin' Aces,6.39320537184897
Knight and Day,5.936565965965457
Oblivion,6.383194791536187
My Girl,6.552208499332055
The Artist,6.66647784571975
The Unborn,5.6551988723737034
See Spot Run,4.926206428883568
Hot Fuzz,7.088407179336141
Radio Days,6.350904902930526
Philadelphia,7.328871605966916
"Crouching Tiger, Hidden Dragon",7.099934747928872
The Yellow Handkerchief,6.06430353783807
The Woman in Black,6.235831464893286
Snitch,6.396209742658172
Where the Heart Is,5.677467904768981
Lawrence of Arabia,9.158354974172983
Drive,7.705011580363005
Confessions of a Teenage Drama Queen,5.627829278757015
Because of Winn-Dixie,5.871570365804252
Love & Basketball,5.822383717085947
All About Steve,5.650112716561493
Fantastic Four,5.807637386195853
Keanu,5.737360359401407
The November Man,6.011231852559951
A Most Wanted Man,6.633471129082969
Highlander: Endgame,5.045500334441978
Idlewild,5.446163968350301
The Muse,5.115750389253611
Barney's Great Adventure,4.684750871732368
Tomorrow Never Dies,6.235162708727107
Peeples,4.661448758618033
The Rocker,5.760000331447559
Kiss Kiss Bang Bang,6.279942256246914
Mulholland Drive,7.836493322631179
Metropolis,10.18367203602988
The Assassin,6.583166678178023
The Return,6.471256597799498
Centurion,6.1584457148513705
The Son of No One,6.212262610443469
Unforgiven,7.398798740144609
Slumdog Millionaire,7.3854049658720005
Fatal Attraction,6.611290065963428
Pretty Woman,6.934755130126284
Crocodile Dundee II,5.85611740352337
Cool Runnings,6.243019733939886
My Bloody Valentine,5.385975632815968
Superstar,5.709077418542934
Jonah: A VeggieTales Movie,5.836863199902817
Vampire in Brooklyn,5.254530781172691
My Boss's Daughter,5.6972825123095046
Dead Man on Campus,5.439900171418059
Tea with Mussolini,6.301765248607118
Head Over Heels,5.305462778017568
Catch a Fire,5.512627510790742
The Smurfs,6.380308821010438
Mr. Turner,6.968457048516305
Amen.,6.209735803133756
Brokeback Mountain,7.2979076107026115
Clueless,6.306912130245042
Seven Psychopaths,6.868138298918219
The Caveman's Valentine,5.7626954335361615
Downfall,8.241428415495875
A Nightmare on Elm Street 4: The Dream Master,5.693139769577143
About Last Night,5.455178673102448
The Smurfs 2,6.326363100172422
No Good Deed,5.190358820247499
Serial Mom,6.399757712041479
Light It Up,5.300672011016353
Ender's Game,6.060082284067298
Live Free or Die Hard,6.132037979836995
I Love You Phillip Morris,6.809191562352691
Lars and the Real Girl,6.366881060963821
Around the World in 80 Days,6.066601194531788
The Land Before Time,6.747866617347663
The Perfect Game,5.609480442539624
Act of Valor,5.884898710310561
Yentl,6.4778088098880655
The Cat in the Hat,5.538799250424978
Katy Perry: Part of Me,6.162324205077602
Kingdom of Heaven,6.949287147842108
Crank,6.145739912339748
Just Wright,5.406459709884073
Sorority Boys,5.223995944404256
About Time,7.351888790628635
House of Flying Daggers,6.883786616333375
Arbitrage,6.149954075842923
Cadillac Records,6.439253497802833
Screwed,4.48057922725713
Girl 6,5.956166283302841
The Martian,7.613933947399674
Welcome to Collinwood,5.2517467855647135
Darling Companion,5.158379518058229
Trade,6.192572633012555
The Island,6.141162442773115
5 Days of War,5.920316254983186
10 Days in a Madhouse,5.192166638036605
Snatch,7.11906640940835
Gremlins,6.821793250339339
My Cousin Vinny,6.37745896293022
History of the World: Part I,6.31092760255808
History of the World: Part I,6.31092760255808
Raising Cain,6.084990500093299
Minority Report,6.462955786162866
Woman in Gold,6.440036191043216
Harry Potter and the Chamber of Secrets,7.284318914693788
The Molly Maguires,6.08957172640868
Darkness,5.244692075378022
2001: A Space Odyssey,8.028098674945477
In the Land of Women,5.726310635847778
Good Will Hunting,6.880023934218687
Saw III,6.176419059569975
She's All That,5.837651095826896
The Color of Money,7.1730348881948
The Mighty Ducks,6.354891076304944
Commando,6.176052061543384
Dogma,6.721511112653963
A Low Down Dirty Shame,5.27333100722112
The Outsiders,6.816576065534679
Skyline,5.327121490274169
Mo' Better Blues,6.334535609390234
The Long Riders,5.73055099135223
The Corruptor,5.6306735819007585
Reno 911!: Miami,5.209251640749113
The Gift,6.164264620493544
Sleepover,5.356835563002776
The Straight Story,7.69579400707472
Django Unchained,8.233181238013628
Gun Shy,5.211089085712531
The Iceman,6.78490378991474
World's Greatest Dad,6.643932131278553
Edmond,5.771990936718925
The Good Guy,5.76920454033137
Free Style,5.106479751793182
Strangerland,6.355431922755499
Blonde Ambition,5.1436933447975735
Of Horses and Men,6.423240405954854
The Lost City,5.75605849341329
"It's a Mad, Mad, Mad, Mad World",6.567646694297188
Melancholia,6.988728789343532
Jab Tak Hai Jaan,6.942850802144309
Alien,7.665101799728707
The Texas Chain Saw Massacre,6.845403123062659
Thunderball,6.501428887075843
Set It Off,5.764840531639933
Harold & Kumar Go to White Castle,6.14213591226681
Boiler Room,6.277462658295014
Black Christmas,5.2872695512251715
Henry V,6.570100137235518
The Ultimate Gift,6.264104607854948
Gracie,5.600923526703495
Velvet Goldmine,7.177606506798719
The Wailing,6.609733842769698
The Legend of Suriyothai,5.942231589966324
All or Nothing,6.370250332713669
Undiscovered,5.2471590981403455
The Lost Boys,6.202837926412945
Election,6.697607252298914
The DUFF,5.920357785877766
Bright Star,6.830859470721653
Limbo,5.022867344329657
Quo Vadis,7.521095072254477
Pulp Fiction,8.528350496938037
Little Miss Sunshine,7.1827890166759
Cloud Atlas,7.333125289004643
Stand by Me,7.586378160118555
You Got Served,6.0468838122545545
Legend of the Guardians: The Owls of Ga'Hoole,6.1304528851323
New Nightmare,5.917834143660824
Half Baked,5.825042985177094
American Psycho,7.25737045098467
The Boondock Saints II: All Saints Day,5.868451394452727
Easy A,6.352699351302653
Anomalisa,6.570680168802148
Made in Dagenham,6.387647275814576
The Secret of Kells,6.206326406023821
Fido,6.0426892723005246
Pathology,5.426749484422179
Dear Wendy,5.532840109107337
The Rocket: The Legend of Rocket Richard,6.5074209471861355
Skyfall,6.812115956287119
Hostel: Part II,5.859469477302537
Extract,5.897917274687182
Albert Nobbs,6.571794284767581
Son of the Mask,5.379630345070514
Live and Let Die,6.780055266950782
Jumping the Broom,5.626072349760247
Capote,6.823667232345107
Action Jackson,5.33030039022863
In the Heart of the Sea,6.422352053400465
Flirting with Disaster,5.914730721222192
