title,revenue
Pirates of the Caribbean: At World's End,4385.383919570095
The Host,481.6810844419646
Man of the House,51.75870363880882
Run All Night,732.3044954496597
Eastern Promises,968.1241994358287
Dream House,513.7736970416927
Mad City,69.29569467454793
The Big Bounce,148.67063904229704
Interstellar,9281.949712958292
Traffic,687.2589865261349
K-PAX,766.8901359772166
Dick Tracy,176.00579263505895
Riding in Cars with Boys,140.67096813492876
First Blood,666.2718909005256
Happily N'Ever After,220.65158653233706
My Best Friend's Wedding,553.0373857126342
The Infiltrator,468.7320576954636
The Fast and the Furious,2522.1729244420208
The Curious Case of Benjamin Button,2600.567221307261
Coyote Ugly,157.23288595936373
Love Actually,1332.1816846219895
The Indian in the Cupboard,123.48260251138704
Savages,576.4865619292744
Johnny English,530.1990749016503
The Hunger Games: Mockingjay - Part 2,8359.692604150747
Poseidon,454.4660446845322
Johnny English Reborn,578.7357354158743
Alice Through the Looking Glass,4528.006240924385
Pinocchio,202.7103367960732
Heaven's Gate,100.15312544330244
Victor Frankenstein,575.9908664159586
The Mechanic,906.4211076754781
The Heat,647.9985859492906
High Crimes,375.0827644330717
The Mothman Prophecies,382.96630805361536
One for the Money,278.70122325888934
The Warrior's Way,355.06943346031767
A Knight's Tale,973.2346337877917
The Karate Kid,185.29227702733348
Lucy,2057.8254346848857
Spy Kids 3-D: Game Over,282.1232976648119
Scream 3,467.5120233730227
Back to the Future Part III,956.1216750802394
42,684.592031894675
Dumb and Dumber To,1069.9971284243336
Eight Below,434.81073327296707
The Intern,948.3593999446853
Sin City,4109.67554992007
The Mexican,473.2384986335059
17 Again,674.2848447379183
The Final Destination,496.9361233646872
Bridge of Spies,1584.1527368718419
The Count of Monte Cristo,418.6299922775407
Apocalypto,1726.641751472722
The Living Daylights,525.3507779912014
Legal Eagles,184.9960482936152
Music and Lyrics,505.6354452990775
Rent,272.0861969552594
The Island of Dr. Moreau,198.2161293049901
City Hall,124.89326074945764
Get Carter,119.06502170413069
Life or Something Like It,74.72871908134397
New York Minute,147.3445992744646
Extreme Ops,153.76934868243137
A Thousand Words,352.2031261241922
The Gunman,359.7620227205713
Hackers,318.1706170860942
The Matrix Revolutions,1359.9222716683269
Superman III,172.70679448371936
Sgt. Bilko,106.2945848417832
White Squall,243.64040431559266
Switchback,122.18263508648194
The Master,536.8330928759227
The Express,222.33200521084805
Creed,1709.7330768246181
Burn After Reading,1026.7542419038143
Rush,1137.093186715548
Magnolia,869.8028663150567
Twilight,648.3497268376904
Space Chimps,296.3706687291827
Lethal Weapon 3,601.8940100670793
The Lone Ranger,1163.607212023241
Identity Thief,361.67951228293157
Cape Fear,867.1987592945402
Guess Who,171.21918974423954
Species,636.6571562561492
Wrath of the Titans,1473.1076525389203
Radio,135.959694691553
This Is 40,567.5209408695404
The Nativity Story,302.86467302685776
Blast from the Past,467.46719786369994
Bee Movie,782.9704776632384
Jersey Girl,187.87331164192776
Concussion,1211.015848490424
Hot Pursuit,452.294723024291
Furry Vengeance,240.87972265663427
Lions for Lambs,263.8847333273511
Flight of the Intruder,46.91653137998153
Walk Hard: The Dewey Cox Story,342.06037334373906
The Tree of Life,601.1489275178125
Zoom,213.1028966689193
Ride with the Devil,75.91980295264227
Reds,156.00633310249665
Thunder and the House of Magic,64.73910249606011
Bridesmaids,967.097694949268
The Big Wedding,332.9820995095794
Pan,1081.176630598713
Moonraker,372.29910461987953
Toy Story,2562.7317241716137
Extraordinary Measures,112.59192561808631
The Addams Family,648.4995153194327
The SpongeBob SquarePants Movie,796.0164419879993
Rugrats in Paris: The Movie,8.06010513241553
Up in the Air,1139.5046704593908
Hope Floats,108.29698609867843
Bride Wars,368.56220095809834
13 Going on 30,814.472918053552
Armageddon,4223.622526546616
Message in a Bottle,194.78497011395783
A View to a Kill,419.9798655965412
Glory Road,375.75215165458684
The Running Man,465.1839818647005
Kung Fu Panda 3,2176.198874765638
Larry Crowne,274.27035849714264
Carrie,1233.3915698818241
What's the Worst That Could Happen?,100.329537270011
9,911.9709336577152
Virtuosity,208.19574508161566
The Replacement Killers,226.29887018235718
Howard the Duck,89.33380746847966
The Cave,377.32979877243116
Alex & Emma,138.90274523175967
The Merchant of Venice,251.6821679679331
Miss Potter,221.83902213572102
The Promise,35.89070261323451
Star Trek,5494.899024776008
Mumford,56.430671351560534
Aladdin,2836.6786976378744
Straight Outta Compton,1552.3237408631758
The Big Short,1541.8699855645054
Miracle,148.63760772223142
Gods of Egypt,1271.6418840893261
Stealth,527.9939171453601
3 Days to Kill,419.2938546568671
Lost Souls,66.32271306986286
Just My Luck,500.30819926989614
Hulk,936.993234207003
About a Boy,558.6817108904595
Return to Oz,454.4197543498235
The Newton Boys,136.4180569793971
Suspect Zero,105.40178269232477
Freaky Friday,495.47234337291275
A Walk Among the Tombstones,816.0434493710959
Kindergarten Cop,429.10244444149356
"O Brother, Where Art Thou?",703.96904558578
Legion,670.6685103104041
The Raven,453.06884267385647
The World Is Not Enough,711.1825606171415
Self/less,1493.9571476132007
The Passion of the Christ,993.1525945427671
Gran Torino,3839.458189224444
Scooby-Doo 2: Monsters Unleashed,706.1877012568567
The Twilight Saga: Breaking Dawn - Part 2,2421.3959292569107
Jimmy Neutron: Boy Genius,391.9195440903364
The Untouchables,1022.6203589492151
Tombstone,492.5378869047845
The Omen,814.503993685019
Anchorman: The Legend of Ron Burgundy,637.3448025057437
Agent Cody Banks,308.24934168992536
Contraband,558.9330353882641
Money Talks,138.6581284635149
Rugrats Go Wild,180.98799667582225
Beauty Shop,50.24813304136745
Million Dollar Arm,146.6841641332029
What a Girl Wants,286.16576724864876
Mr. Bean's Holiday,477.21647121558425
Elizabeth,324.1896736412058
The Sitter,382.78512417227097
Kingpin,485.54365862947094
War,551.302523426053
Punch-Drunk Love,431.3585001894867
"Bright Lights, Big City",64.27732789322114
The Greatest Game Ever Played,92.36824287613075
The Box,175.88669925660693
Stealing Harvard,48.25049813450021
